"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","AUTAUGA","001","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","3,666","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","BULLOCK","011","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","617","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","14,634","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","2,419","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","GREENE","063","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","1,689","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","1,217","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","LOWNDES","085","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","1,491","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","1,219","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","951","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MONTGOMERY","101","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","1,876","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","2,860","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","SUMTER","119","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","1,450","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BALDWIN","003","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","15,808","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BUTLER","013","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","1,317","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CHOCTAW","023","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","736","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CLARKE","025","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","701","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CONECUH","035","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","250","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","ESCAMBIA","053","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","3,208","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MOBILE","097","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","5,061","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MONROE","099","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","3,461","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","WASHINGTON","129","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","725","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","WILCOX","131","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","667","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","BLOUNT","009","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","3,671","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CALHOUN","015","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","1,610","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CHEROKEE","019","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","3,368","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CLEBURNE","029","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","342","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CULLMAN","043","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","6,107","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","DE KALB","049","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","2,317","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","ETOWAH","055","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","178","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","JACKSON","071","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","1,752","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","MARSHALL","095","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","6,451","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","SAINT CLAIR","115","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","2,315","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","COLBERT","033","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","FRANKLIN","059","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","862","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LAUDERDALE","077","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","6,976","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LAWRENCE","079","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","17,320","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LIMESTONE","083","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","11,168","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MADISON","089","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","5,196","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MARION","093","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","2,026","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MORGAN","103","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","1,644","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","WINSTON","133","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","141","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","BIBB","007","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","949","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","CHAMBERS","017","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","1,155","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","CHILTON","021","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","401","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","CLAY","027","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","543","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","COOSA","037","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","222","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","FAYETTE","057","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","2,931","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","JEFFERSON","073","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","320","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","LAMAR","075","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","185","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","LEE","081","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","979","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","PICKENS","107","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","9,218","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","RANDOLPH","111","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","474","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","SHELBY","117","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","TALLADEGA","121","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","1,519","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","TALLAPOOSA","123","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","150","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","TUSCALOOSA","125","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","1,389","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","WALKER","127","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","761","29.5"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","BARBOUR","005","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - ACRES","TOTAL","NOT SPECIFIED","5,209","29.5"
